id,division,round,visitorGoals,timestamp
1082,2,16,1,63154800
1083,2,16,2,63154800
1084,2,16,0,63154800
1085,2,16,0,63154800
1086,2,16,4,63154800
1087,2,17,0,58316400
1088,2,17,0,63500400
1089,2,17,1,63500400
1090,2,17,0,63500400
1091,2,17,0,63500400
1092,2,17,0,63500400
1093,2,17,0,63500400
1094,2,17,0,63500400
1095,2,17,0,63500400
1096,2,17,0,63500400
1097,2,18,0,63759600
1098,2,18,0,63759600
1099,2,18,1,63759600
1100,2,18,1,63759600
1101,2,18,0,63759600
1102,2,18,1,63759600
1103,2,18,0,63759600
1104,2,18,1,63759600
1105,2,18,0,63759600
1106,2,18,0,63759600
1107,2,19,0,64278000
1108,2,19,1,64364400
1109,2,19,1,64364400
1110,2,19,0,64364400
1111,2,19,3,64364400
1112,2,19,1,64364400
1113,2,19,0,64364400
1114,2,19,2,64364400
1115,2,19,1,64364400
1116,2,19,1,64364400
1117,2,20,0,64969200
1118,2,20,0,64969200
1119,2,20,0,64969200
1120,2,20,0,64969200
1121,2,20,0,64969200
1122,2,20,0,64969200
1123,2,20,0,64969200
1124,2,20,2,64969200
1125,2,20,0,64969200
1126,2,20,0,64969200
1127,2,21,0,65574000
1128,2,21,0,65574000
1129,2,21,1,65574000
1130,2,21,0,65574000
1131,2,21,0,65574000
1132,2,21,0,65574000
1133,2,21,0,65574000
1134,2,21,1,65574000
1135,2,21,1,65574000
1136,2,21,0,65574000
1137,2,22,1,66178800
1138,2,22,0,66178800
1139,2,22,0,66178800
1140,2,22,0,66178800
1141,2,22,2,66178800
1142,2,22,0,66178800
1143,2,22,1,66178800
1144,2,22,0,66178800
